Topic	Stage	Actor	Complexity	Text	Interrupt	Turn	Affinity	Tangents (;)	Event	Anger	Fear	Ego	Respect	Humanism	Idealism	Pacifism	Altruism	Fatalism	Futurism	Tribalism	Authoritarianism	Militarism	Utilitarianism	Superiority
			24	"Mankind must deal in all sciences, both safe and dangerous."											0.5				1				0.5	
		Jack	24	There's just something perverted about science. The world is one big experiment to them.		Keep									-0.5				-1					
			26	You do know rocket technology was developed by Nazis?		Keep												1		1		-0.5		
			28	It's all maths to the scientists. They see souls in numbers and numbers in souls.											-0.5								0.5	
	Climax	Joe	24	"Science can be controlled, science can be regulated."											1									
			27	One day our civilization will be powered by fusion reactors and we will sail between the stars.															5					
			30	"For better or worse, scientists carry the most supreme trait of man, the ability to dream."				Dreamers						1										1
			33	"They make the future. You want to control it, just as our government does."				Justice							2						1			1
		Jack	30	"There is human science, and there is inhuman science."		Keep																		
			33	Blind faith in science is no different from any other sort of fanaticism.										1				1						
	Denouement	Joe	32	"And let me tell your partner, they will be called astronauts, not cosmonauts."															1	1				
			26	You really are illiterate!																				2
			20	Did you get beat up by a group of nerds or something?				Childhood																0.5
			14	Science is more of a process anyways.											0.5									
	Coda	Jack	29	Today is the end of the experiment called planet Earth.				Doomsday										1						
			23	Science doesn't mean anything to me. It's pursuit without purpose or benefit.											-0.5			0.5	-0.5					
			17	All the great people of the world couldn't stop the flow of time.														1						
			11	I cannot divine the purpose of their theorems.																				-0.5
		Joe	29	"On my fifth birthday I realized I wanted to become an astronaut and I've come to respect science a great deal as a result. Sorry, if this gets me a little excited."										0.5	0.5									
			23	Science only seeks to shine a light upon the darkness.											1									
			17	"I'm not saying they were gods or anything. They were normal people, just like us."										3										-1
			11	"I admit, I don't understand much either. I only dabble in understanding."										1										-3
Doomsday	Orientation	Joe	5	"It's not the end of the world, Jack."														-1						
		Jack	8	"There is a thin line between the end of the world and a ""close call""."														1						
	Complication	Joe	10	It takes more than two of the world's greatest arsenals being emptied out to end the world.				Destruction						1				-1				-1		-1
		Jack	25	The paranoia of the diplomatic market will lead to a complete breakdown of trust.		Keep		Calamity			10							2		-1				
			14	This will trigger an ecological collapse. Earth is like a house of cards.				Land										1						
		Joe	10	"The world has not ended yet, has it? We're still here."				Noramlity										-1						
			12	"Radiation is not alive, it cannot reporduce. Life will win out in the end."										1				-1						
			14	"And ""nature does not know extinction""."																				
	Climax	Jack	25	I guess it's better to wait and see for ourselves what the world will become.				Jack			-10							-1	1					
			25	"If the world doesn't end, I'll probably kill myself anyways."							10							10						
		Joe	14	That really is the worst-case scenario.																				
			16	"If the Russkies somehow manage to climb out of hell, we'll be there to kick them back in."				Russians						-1		-1		-2		3				1
	Denouement	Jack	20	"We will never know which of us was right though, will we."														1						
		Joe	18	The end of the world is hard to even think about.																				
			16	We are cut off from the future we are creating.				Time																
			15	"Alright, the world might end today. But let's worry about it when we get there."																				
			14	I suppose the world as is will come to an end today.																				
			10	Doomsdays are more of a Catholic thing. I have faith in our Lord.				God										-1		0.5	0.5			
	Coda	Joe	16	We don't have much time left.														0.5						
			12	"God, this is surreal."										1										
		Jack	14	If only optimism alone could ward off radiation...										0.5	0.5			-1						
Jack	Orientation	Joe	6	Jack. You're not alright in the head.																				0.5
	Complication	Joe	8	I never noticed the degree to which you are anti-social.																0.5				0.5
			10	You're going against your duty as a military officer and citizen of a democracy.				Duty												0.5		0.5		0.5
			12	You seem to have some sort of a savior complex.													-0.5	0.5						0.5
			12	You also have a god complex.				God							-0.5									0.5
		Jack	14	Lay it on thick. Tell the old-timer about all he's doing wrong.										0.5										0.5
		Joe	16	You're not a Russky. Nor did you ever have any Russky friends. You didn't even go to college.																0.5				
			18	"Before today, I thought your record was clear."																	0.5			
			20	I just don't understand what happened.										0.5										
	Climax	Jack	22	I just got old.		Keep								1										
			24	It will happen to you as well.										2				1						
		Joe	26	"That being said, you will now do as I say. You are not of sound mind."			Hate	Confront													5			5
			24	I think there might be something wrong with your brain.										-1				1			1			1
			22	This world has made you sick.										1	1			3						
	Denouement	Joe	22	I don't know what to do about you.																				
			17	Of course I've seen many people worse off than you. In our very own squadron in fact.										0.5										-1
			12	"You are a contradiction, somewhere between sanity and madness."										1	0.1		0.5	1						
	Coda	Jack	15	I doubt your sanity as well.										1				1						
		Joe	14	Just... Don't take this the wrong way.																				0.5
Man	Orientation	Jack	5	There must be some sort of darkness in the hearts of men.		Keep								0.5				1						0.2
		Joe	8	What is a man?																				
			9	What is it that you mean by that?																				
	Complication	Jack	10	We want to destroy anything that is in any way other than ourselves.		Keep												3						
			14	Perhaps we seek to eliminate all uncertainties.														1					2	
			16	We sing and we talk. Those are our main tools of corruption.										1				0.5						
		Joe	20	We are highly advanced predators.											-1	-0.5		0.5		0.1	0.5	0.25		
			18	"We are brains, ghosts bottled up within in vessels."										1										
			16	"Perhaps, but we're not computers."										2										
		Jack	22	The brain is a parasite of the stomach.														1						
			20	We consume things. We hunt.														1						
			18	We destroy. We hate. We let our hate destroy us.														1						
	Climax	Joe	20	A man is a man is a man.																				
			20	A man is a rock. He can beat anything.																	0.5	0.5		
			20	"We make fires, we make tools, and we explore. That's what makes us humans."										1										
			20	We all fight in our personal war. It gives us purpose.										3				0.5				0.5		
			20	We are beautiful beings.				Dreamers																
		Jack	22	We are lines.		Keep												1						
			24	We are missiles sent into the world.		Keep												1						
			26	Where we land is known.		Keep												1						
			28	We are agents of fate.														1						
	Denouement	Joe	30	"Unlike missiles, we have free will."										2				-1						
			20	We must take the form the situation calls for. It's best to remain undefined.										0.5							0.5			
			15	But god made us. I will not question his design.				God													0.5			
	Coda	Jack	24	"Future generations will be as blind as us. Not knowing themselves, ourselves, they will repeat our mistakes."				Cycles										3						
			17	Who we are will remain a mystery.										1				0.5						
		Joe	24	There is freedom in not knowing oneself.														-1						
			17	The human mind will one day be mapped.															1					
Dreamers	Orientation	Joe	5	We are dreaming.														0.5						
	Complication	Joe	9	We exist somwhere on the border between sleep and wakefulness.														0.5						
			12	"Always, not just now. But especially now."														0.5						
			15	We are passing creatures.														0.5						
	Climax	Joe	18	"We belong to the future, but we are stuck in the present."														0.5						
			21	Even now we cannot escape it.														0.5						
			24	The nuke is the wish-granter.														0.5						
			27	I wish I wish.																				
			30	"Grant me death, o dear nuke of mine."					6															
	Denouement	Joe	30	"How did it go again? Uh. . . ""HAPPINESS FOR EVERYBODY, FREE, AND NO ONE WILL GO AWAY UNSATISFIED?"""																				
			27	I wish to live in the future.				Time										0.5						
			24	The nuke is the dream-destroyer.														0.5						
			21	"There are 1,000,000 doors, but only 999,999 of them are exits. With each passing second, a new non-exit is being added to the doors."														0.5						
			18	The present is stuck in the past. What was will be. Time is a flat circle. Or wait... Maybe it was an oval?														0.5						
			15	I have become a shadow of my true immortal self.														0.5						
			12	"But at this moment in time, I am completley awake."														0.5						
	Coda	Joe	27	But wishes aren't real.														0.5						
			25	"Sir, I wish to disintegrate!"					11									0.5						
			20	I am suddenly having a panic attack.														0.5						
			17	Why was I created?														0.5						
			14	I was dreaming. The future is here.														0.5						
		Jack	30	" The end of the story is the nuke. It almost landed back there, while you were day-dreaming. Just try not to disintegrate."									10					0.5						
Death	Orientation	Joe	5	Many lives will be lost today.														2					0.5	
		Jack	5	"At this rate, the human race will go extinct."														2						
	Complication	Joe	8	Some losses are unavoidable.														1					1	
			10	Russky deaths are necessary for the good of mankind.										-0.5		-1				1.5			0.5	0.5
		Jack	12	None of the Soviets have to die.		Keep								1						-1				
			14	MAD has failed. It is no longer a valid strategy.															0.5					
		Joe	18	I think I get it. Adherence to the MAD strategy will cost more human lives than ignoring it would save?	Want		Hate									2		1					3	
			20	The Russkies were dead from the moment they took aim at us.												-0.5		0.5				1		
	Climax	Joe	18	The deaths will be many times less than they would be with conventional strategic bombing.																			3	
			21	"Compared to a plague, a nuclear strike is almost surgical. It is instant and total death. There is no prolonged suffering and there is no spread."																			5	
			24	"Surely, the calculations have been made. The path with least losses has been found."																	3		3	
		Jack	24	It seems I am talking to a nuclear scientist.									-10											1
			24	Try to imagine the people you are going to kill. Can you imagine their faces? Can you imagine their voices?	Want		Love						10	1										
	Denouement	Joe	22	They were idiots. They should have know that we would strike back.																1				1
			20	There is a second more sophisticated level to the MAD doctrine which you do not comprehend.																		1		1
			18	There is no way to keep your hands clean in a nuclear situation.												-1	-1	3					1	
			16	"Jack, how can we carry this weight on our shoulders?"													3.5				0.5			0.5
			10	Thinking about death will not making it easier to deal death.												-0.5							0.5	
	Coda	Joe	20	I wonder what future population graphs will look like.														1	0.5					
			15	I hope my family will be okay.										1						0.1				
		Jack	20	It's like we're killing numbers.															0.1					
			15	Almost feels like we're playing yahtzee with death.															0.3					
Time	Orientation	Joe	5	"Goddamn, I wish we had more time."										0.5										
		Jack	10	Time is our biggest enemy.										0.5										
	Complication	Jack	12	"If I could stop time, I could just stop and think about things."		Keep																		
			15	Just clear out my head.																				
		Joe	18	Yeah. I'm feeling pretty claustrophobic myself.																				
			21	"If I'd known there would be a nuclear war coming, I would have worried less about homework."										0.2							-0.2			
			22	If you had asked me this morning I would have said I had lived a pretty long life. Now it feels rather short.																				
			24	The march of time is relentless.														1						
		Jack	20	Can you shut up for a moment? I need to gather my thoughts.		Keep																		
			22	This feeling is horrible. It feels like the minute hands are smearing me around the clock-face.														5						
			24	One moment follows another. It makes no sense.														1						
		Joe	26	"You could become a missile yourself. According to Einstein, since the missiles are so fast when compared to us, time should be passing slower for them."										-0.2				1				1		
	Climax	Joe	26	"When we were children, we had all the time in the world."				Childhood						0.5										
			28	It is so human to be steeped in time. It is hard imagine life without it.				Man						1										
			30	"The earth, this desert for example, is almost completely outside of time."				Land																
			33	We're just sparks pecked off its surface.																				
		Jack	30	"Everything scientists do is about shortening time, not prolonging it."											-0.5			1						
			31	It's a shame.										0.5					-0.5					
	Denouement	Joe	28	"Jack, we're quite short on time. It's time we made the decision."				Confront										3			1			
			25	Time is unfair.				Justice						0.5	1									
			21	I missed 7 years of life that you got to live through.				Childhood																
			13	Time is our friend. We couldn't do anything without it.																				
	Coda	Jack	18	I'm so old. I'm decrepit and dying.																				
		Joe	18	"You're right, Jack. Time is our enemy."												1								
			18	The inverse relationship between my ability to act in time and my ability to experience that time is rather annoying.										0.3	0.2								0.1	
Land	Orientation	Jack	5	The land we're on used to be Native American land. It was taken from them.																0.5				
	Complication	Joe	7	This land no longer belongs to them.																-0.5				
			7	This land belongs to the Americans now.										1						1				1
		Jack	10	Land never belongs to anyone.										-0.5						-1				
		Joe	13	I doubt the explosions will do much harm to the ground.																				
			13	"The desert cannot reflect on good and evil, it just ""is"" the desert."										0.1	0.1									
	Climax	Jack	15	It is free from the shackles of time.				Time																
		Joe	19	A country needs land more than people.																			0.5	
		Jack	23	"Even if we die, as long as there is land, there is America."														1						
		Joe	27	"It is just as us, but more so."																				
	Denouement	Joe	18	It is bound to us. It needs us to give it names.										1										
			16	Land is not alive of course.																				0.1
			14	"It will be called the Soviet Union of States soon enough, if we're not careful."																0.5				
	Code	Joe	18	"If we could listen, what would it say?"				Cycles																
			12	Won't be Russky land at least.				Russians										1		1				
		Jack	17	"At the end, there will just be silence."														1						
			11	This land stinks of death and rot.				Calamity										1						
God	Orientation	Joe	5	"Do you even believe in god, Jack?"																				
		Jack	9	What sort of god would this be?																				
	Complication	Jack	10	I do not believe in a loving god.														1						
			12	I don't believe in any Abrahamic god.																-1	-0.5			
			14	This world is too evil to house any gods.											-2									
		Joe	16	There are no atheists in fox-holes.																				1
			17	God works in mysterious ways.																	0.5			1
	Climax	Jack	21	God works in ass-backwards ways.																	-0.5			-1
			24	I only believe in the god of death.		Keep					10			-1				1						
			25	I became a convert within the last hour.		Keep					10							2						
			26	"My Gadget is my Trinity, the Fat Man and Little Boy my prophets. The glory of the lord however belongs to an atomic bomb."							10							3						
	Denouement	Jack	26	"Alright, Joe, whatever, let's just move on with our short lives."																				
			25	I just don't to spend my last minutes on this Earth debating you.																				
			24	In fact I do not believe in any god at all.						5	-10	5												
		Joe	16	"I won't bother you with belief, you clearly have not an ounce faith left in you."																				
	Coda	Joe	26	I'll pray for your soul.													1							1
			15	"You have free will because of god, not despite Him."																				
		Jack	23	My god will annihilate you.																	-1	0.5		1
			15	"If you think dragging me along to heaven will be your path to salvation, you're wrong."													-0.5							
Cycles	Orientation	Joe	5	"History won't repeat itself, I'll promise you that."																				
		Jack	8	And who grants it.													0.5							
	Complication	Joe	11	No one does.																				
			14	God might.																	0.5			
	Climax	Jack	16	It wouldn't repeat if you stopped killing everyone. Someone could remember the present and preserve what we knew.																				
			19	Sometimes it seems like even you don't believe in what you're saying.																				
		Joe	19	The United States will survive.																				0.5
	Denouement	Joe	14	All I'm saying is that history is not a supernatural force.														-1						
			17	We have more shelters than the Russkies.										-1		-1	-0.5						0.5	0.5
	Coda	Joe	18	"Fine, maybe a more direct approach is better."		Confront;Forget																		
			14	"Sure, history has patterns, but you can't live your life in fear of them."										0.5				-0.5						
		Jack	16	"The world is just such a simple for you, isn't it."	Want		Hate																	
Childhood	Orientation	Joe	5	Do you remember your childhood?																				
	Complication	Jack	7	"I remember my mother, she was a very sweet lady, as was my nan."										0.2										
			9	I remember white picket fences and all that stuff.										0.2										
			11	I used to get quite a catch at the creek.										0.2										
		Joe	12	Did you ever want to become anyone? A dream job?		Give																		
			13	I wanted to be an astronaut.																				
		Jack	17	I never did. I was always gonna figure it out eventually. I never did.																				
	Climax	Joe	20	Your childhood sounds pretty idyllic.																				
			22	I grew up in LA. It was very different from that for sure.																				
			24	I had to deal with the adult world from a very early age.														-0.5						
			28	"As a kid, I didn't care much."											1									
		Jack	30	Seems like you grew up just fine.																				
	Denouement	Joe	28	This could have been the future.														1	1					
			12	That sounds way nicer than I thought it would.																				
	Coda	Jack	26	Nothing is stopping the Soviet children from having that sort of childhood.													1							
			10	I always wanted to grow up faster. Never could grow fast enough.																				
		Joe	10	I wish I could be a kid again.											0.1									
Confront	Orientation	Joe	5	This is the last time I'll ask. 																				
			5	Will you or will you not co-operate?																				
	Complication	Joe	7	There's only one answer that I will accept.																				
			9	Your reasons are poor while mine are superior.																				5
			11	Let's not kid ourselves. You're fucked.																				
			13	"One way or another, you're not leaving this mess. Yes or no?"																				
		Jack	9	"Make it quick, I need to take a leak before the world ends."																				
			11	I will not fight against my nature.				Man																
		Joe	15	Those babies are going up there. Don't make it harder than it has to be.				Nukes																
			17	"The efforts of our civilization, wasted!"				Civilization																
		Jack	17	"You're like a barking dog. ""Bark! Bark! Bark!"""																				
			18	Do you want to spend your last minutes on this earth yapping?				Time																
			19	Do you realize what you're doing? Think for a moment!				Forget																
	Climax	Joe	22	"Now, decide!"		Give																		
		Jack	26	"I will. Let's get the keys, Kiddo."					6	-3	-3		3											
			26	I won't.						3	3		-3											
		Joe	28	I hereby judge you guilty for treason. Die!					7															
	Denouement	Joe	22	Fine! Let the others do it then.				Others																
			16	"Ah, forget it!"																				
	Coda	Joe	18	"I swear, this is like some fucked up dream."				Dreamers																
		Jack	18	I guess this shouting match had to happen.																				
Forget	Orientation	Joe	5	"Can I hear your reasoning, one last time?"																				
	Complication	Jack	7	The world is fucked.																				
			9	We are dead.																				
			11	Why waste the last of our lives on anger?		Keep																		
		Joe	15	"We are supposed to do what's right, we are supposed to protect people."				Civilization																
			15	How can you justify leaving behind your people?		Keep		Justice																
		Jack	19	I believe our country to be full of good people.																				
			21	In their dying breath they would want this.																				
	Climax	Joe	20	I get it now.		Keep																		
			22	"Let's leave, Jack. I want to see the sky, before it breaks apart."					6															
	Denouement	Joe	21	You can't be helped.				Confront;Jack																
	Coda	Joe	20	This forgive and forget thing ain't for me.																				
		Jack	18	I don't know what I was expecting.																				
